"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
1998.0,26.0,1.0,26.0,Sam Jacobson,LAL,Minnesota,College/University,1734.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1998.0,27.0,1.0,27.0,Vladimir Stepania,SEA,KK Olimpija,Other Team/Club,1735.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,PRO,Slovenia
1998.0,28.0,1.0,28.0,Corey Benjamin,CHI,Oregon State,College/University,1736.0,1610612741,Chicago Bulls,Chicago,Bulls,1.0,COL,
1998.0,29.0,1.0,29.0,Nazr Mohammed,UTA,Kentucky,College/University,1737.0,1610612762,Utah Jazz,Utah,Jazz,1.0,COL,
1998.0,30.0,2.0,1.0,Ansu Sesay,DAL,Mississippi,College/University,1738.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
1998.0,31.0,2.0,2.0,Ruben Patterson,LAL,Cincinnati,College/University,1739.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1998.0,32.0,2.0,3.0,Rashard Lewis,SEA,Elsik,High School,1740.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,HS,
1998.0,33.0,2.0,4.0,Jelani McCoy,SEA,California-Los Angeles,College/University,1741.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,COL,
1998.0,34.0,2.0,5.0,Shammond Williams,CHI,North Carolina,College/University,1742.0,1610612741,Chicago Bulls,Chicago,Bulls,1.0,COL,
1998.0,35.0,2.0,6.0,Bruno Sundov,DAL,KK Split,Other Team/Club,1743.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,PRO,Croatia
1998.0,36.0,2.0,7.0,Jerome James,SAC,Florida A&M,College/University,1744.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1998.0,37.0,2.0,8.0,Casey Shaw,PHI,Toledo,College/University,1745.0,1610612755,Philadelphia 76ers,Philadelphia,"76ers",1.0,COL,
1998.0,38.0,2.0,9.0,DeMarco Johnson,NYK,North Carolina-Charlotte,College/University,1746.0,1610612752,New York Knicks,New York,Knicks,1.0,COL,
1998.0,39.0,2.0,10.0,Rafer Alston,MIL,Fresno State,College/University,1747.0,1610612749,Milwaukee Bucks,Milwaukee,Bucks,1.0,COL,
1998.0,40.0,2.0,11.0,Korleone Young,DET,Hargrave Military Academy,High School,1748.0,1610612765,Detroit Pistons,Detroit,Pistons,1.0,HS,
1998.0,41.0,2.0,12.0,Cuttino Mobley,HOU,Rhode Island,College/University,1749.0,1610612745,Houston Rockets,Houston,Rockets,1.0,COL,
1998.0,42.0,2.0,13.0,Miles Simon,ORL,Arizona,College/University,1750.0,1610612753,Orlando Magic,Orlando,Magic,1.0,COL,
1998.0,43.0,2.0,14.0,Jahidi White,WAS,Georgetown,College/University,1751.0,1610612764,Washington Wizards,Washington,Wizards,1.0,COL,
1998.0,44.0,2.0,15.0,Sean Marks,NYK,California,College/University,1752.0,1610612752,New York Knicks,New York,Knicks,1.0,COL,
1998.0,45.0,2.0,16.0,Toby Bailey,LAL,California-Los Angeles,College/University,1753.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1998.0,46.0,2.0,17.0,Andrae Patterson,MIN,Indiana,College/University,1754.0,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,1.0,COL,
1998.0,47.0,2.0,18.0,Tyson Wheeler,TOR,Rhode Island,College/University,1755.0,1610612761,Toronto Raptors,Toronto,Raptors,1.0,COL,
1998.0,48.0,2.0,19.0,Ryan Stack,CLE,South Carolina,College/University,1756.0,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,1.0,COL,
1998.0,49.0,2.0,20.0,Cory Carr,ATL,Texas Tech,College/University,1757.0,1610612737,Atlanta Hawks,Atlanta,Hawks,1.0,COL,
1998.0,50.0,2.0,21.0,Andrew Betts,CHH,Long Beach State,College/University,1758.0,1610612766,Charlotte Hornets,Charlotte,Hornets,0.0,COL,
1998.0,51.0,2.0,22.0,Corey Brewer,MIA,Oklahoma,College/University,1759.0,1610612748,Miami Heat,Miami,Heat,0.0,COL,
1998.0,52.0,2.0,23.0,Derrick Dial,SAS,Eastern Michigan,College/University,1760.0,1610612759,San Antonio Spurs,San Antonio,Spurs,1.0,COL,
1998.0,53.0,2.0,24.0,Greg Buckner,DAL,Clemson,College/University,1761.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
1998.0,54.0,2.0,25.0,Tremaine Fowlkes,DEN,Fresno State,College/University,1762.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1998.0,55.0,2.0,26.0,Ryan Bowen,DEN,Iowa,College/University,1763.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1998.0,56.0,2.0,27.0,J.R. Henderson,VAN,California-Los Angeles,College/University,1764.0,1610612763,Vancouver Grizzlies,Vancouver,Grizzlies,1.0,COL,
1998.0,57.0,2.0,28.0,Torraye Braggs,UTA,Xavier,College/University,1765.0,1610612762,Utah Jazz,Utah,Jazz,1.0,COL,
1998.0,58.0,2.0,29.0,Maceo Baston,CHI,Michigan,College/University,1766.0,1610612741,Chicago Bulls,Chicago,Bulls,1.0,COL,
1997.0,1.0,1.0,1.0,Tim Duncan,SAS,Wake Forest,College/University,1495.0,1610612759,San Antonio Spurs,San Antonio,Spurs,1.0,COL,
1997.0,2.0,1.0,2.0,Keith Van Horn,PHI,Utah,College/University,1496.0,1610612755,Philadelphia 76ers,Philadelphia,"76ers",1.0,COL,
1997.0,3.0,1.0,3.0,Chauncey Billups,BOS,Colorado,College/University,1497.0,1610612738,Boston Celtics,Boston,Celtics,1.0,COL,
1997.0,4.0,1.0,4.0,Antonio Daniels,VAN,Bowling Green,College/University,1498.0,1610612763,Vancouver Grizzlies,Vancouver,Grizzlies,1.0,COL,
1997.0,5.0,1.0,5.0,Tony Battie,DEN,Texas Tech,College/University,1499.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1997.0,6.0,1.0,6.0,Ron Mercer,BOS,Kentucky,College/University,1500.0,1610612738,Boston Celtics,Boston,Celtics,1.0,COL,
1997.0,7.0,1.0,7.0,Tim Thomas,NJN,Villanova,College/University,1501.0,1610612751,New Jersey Nets,New Jersey,Nets,1.0,COL,
1997.0,8.0,1.0,8.0,Adonal Foyle,GSW,Colgate,College/University,1502.0,1610612744,Golden State Warriors,Golden State,Warriors,1.0,COL,
1997.0,9.0,1.0,9.0,Tracy McGrady,TOR,Mount Zion Christian Academy,High School,1503.0,1610612761,Toronto Raptors,Toronto,Raptors,1.0,HS,
1997.0,10.0,1.0,10.0,Danny Fortson,MIL,Cincinnati,College/University,1504.0,1610612749,Milwaukee Bucks,Milwaukee,Bucks,1.0,COL,
1997.0,11.0,1.0,11.0,Tariq Abdul-Wahad,SAC,San Jose State,College/University,1505.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1997.0,12.0,1.0,12.0,Austin Croshere,IND,Providence,College/University,1506.0,1610612754,Indiana Pacers,Indiana,Pacers,1.0,COL,
