"link","exception","extraction_date"
https://www.politico.com/newsletters/new-jersey-playbook/2021/04/19/the-murphy-sacco-official-misconduct-fight-will-continue-492522,Article `download()` failed with 404 Client Error: Not Found for url: https://www.politico.com/newsletters/new-jersey-playbook/2021/04/19/the-murphy-sacco-official-misconduct-fight-will-continue-492522 on URL https://www.politico.com/newsletters/new-jersey-playbook/2021/04/19/the-murphy-sacco-official-misconduct-fight-will-continue-492522,"2021-04-26"
https://www.forbes.com/sites/bradadgate/2021/04/20/as-ratings-drop-tv-networks-fault-nielsen-media-researchers-weigh-in/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/bradadgate/2021/04/20/as-ratings-drop-tv-networks-fault-nielsen-media-researchers-weigh-in/ on URL https://www.forbes.com/sites/bradadgate/2021/04/20/as-ratings-drop-tv-networks-fault-nielsen-media-researchers-weigh-in/,"2021-04-26"
https://www.kansascity.com/sports/college/big-12/university-of-kansas/article250829919.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/sports/college/big-12/university-of-kansas/article250829919.html","2021-04-26"
https://sports.yahoo.com/cg-mia-sf-4-22-053117275.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/cg-mia-sf-4-22-053117275.html on URL https://sports.yahoo.com/cg-mia-sf-4-22-053117275.html,"2021-04-26"
https://www.newsweek.com/terrence-clarke-tributes-nba-players-boston-celtics-1585898,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/terrence-clarke-tributes-nba-players-boston-celtics-1585898 on URL https://www.newsweek.com/terrence-clarke-tributes-nba-players-boston-celtics-1585898,"2021-04-26"
https://www.charlotteobserver.com/sports/article250886694.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/sports/article250886694.html","2021-04-26"
https://www.sacbee.com/news/nation-world/national/article250885369.html,"Article `download()` failed with HTTPSConnectionPool(host='www.sacbee.com', port=443): Read timed out. (read timeout=7) on URL https://www.sacbee.com/news/nation-world/national/article250885369.html","2021-04-26"
https://www.kansascity.com/sports/article250886694.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/sports/article250886694.html","2021-04-26"
https://www.sacbee.com/sports/article250886694.html,"Article `download()` failed with HTTPSConnectionPool(host='www.sacbee.com', port=443): Read timed out. (read timeout=7) on URL https://www.sacbee.com/sports/article250886694.html","2021-04-26"
https://www.charlotteobserver.com/sports/college/article250858074.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/sports/college/article250858074.html","2021-04-26"
https://www.newsweek.com/most-iconic-kardashian-moments-18-1581757,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/most-iconic-kardashian-moments-18-1581757 on URL https://www.newsweek.com/most-iconic-kardashian-moments-18-1581757,"2021-04-26"
https://www.forbes.com/sites/kimberlywhitler/2021/04/24/an-unexpected-success-story-how-a-small-town-boy-created-and-sold-a-large-biotech-firm/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/kimberlywhitler/2021/04/24/an-unexpected-success-story-how-a-small-town-boy-created-and-sold-a-large-biotech-firm/ on URL https://www.forbes.com/sites/kimberlywhitler/2021/04/24/an-unexpected-success-story-how-a-small-town-boy-created-and-sold-a-large-biotech-firm/,"2021-04-26"
https://www.charlotteobserver.com/sports/college/football/article250909529.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/sports/college/football/article250909529.html","2021-04-26"
https://www.kansascity.com/sports/college/article250909529.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/sports/college/article250909529.html","2021-04-26"
https://www.newsweek.com/alabama-gov-signs-law-banning-transgender-athletes-other-governors-veto-bills-1586162,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/alabama-gov-signs-law-banning-transgender-athletes-other-governors-veto-bills-1586162 on URL https://www.newsweek.com/alabama-gov-signs-law-banning-transgender-athletes-other-governors-veto-bills-1586162,"2021-04-26"
https://www.sacbee.com/sports/article250915029.html,"Article `download()` failed with HTTPSConnectionPool(host='www.sacbee.com', port=443): Read timed out. (read timeout=7) on URL https://www.sacbee.com/sports/article250915029.html","2021-04-26"
https://www.charlotteobserver.com/sports/college/mens-basketball/article250915029.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/sports/college/mens-basketball/article250915029.html","2021-04-26"
https://www.charlotteobserver.com/sports/college/mens-basketball/article250915024.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/sports/college/mens-basketball/article250915024.html","2021-04-26"
https://www.kansascity.com/sports/college/article250915029.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/sports/college/article250915029.html","2021-04-26"
https://www.newsobserver.com/sports/spt-columns-blogs/luke-decock/article250849699.html,"Article `download()` failed with HTTPSConnectionPool(host='www.newsobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.newsobserver.com/sports/spt-columns-blogs/luke-decock/article250849699.html","2021-04-26"
https://www.forbes.com/sites/kevindowd/2021/04/25/behind-blackstones-banner-quarter-and-pes-pursuit-of-a-perpetual-earning-machine/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/kevindowd/2021/04/25/behind-blackstones-banner-quarter-and-pes-pursuit-of-a-perpetual-earning-machine/ on URL https://www.forbes.com/sites/kevindowd/2021/04/25/behind-blackstones-banner-quarter-and-pes-pursuit-of-a-perpetual-earning-machine/,"2021-04-26"
https://www.kansascity.com/opinion/opn-columns-blogs/melinda-henneberger/article250903154.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/opinion/opn-columns-blogs/melinda-henneberger/article250903154.html","2021-04-26"
https://www.kansascity.com/news/article250927734.html,"Article `download()` failed with HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=7) on URL https://www.kansascity.com/news/article250927734.html","2021-04-26"
https://www.charlotteobserver.com/news/article250927734.html,"Article `download()` failed with HTTPSConnectionPool(host='www.charlotteobserver.com', port=443): Read timed out. (read timeout=7) on URL https://www.charlotteobserver.com/news/article250927734.html","2021-04-26"
https://www.miamiherald.com/news/article250927734.html,"Article `download()` failed with HTTPSConnectionPool(host='www.miamiherald.com', port=443): Read timed out. (read timeout=7) on URL https://www.miamiherald.com/news/article250927734.html","2021-04-26"
